TAZ	LAT	LONG
2116	42.28458768	-83.75012571
2117	42.28406542	-83.7470371
2118	42.28393775	-83.74471275
2119	42.2878691	-83.74609442
2120	42.28600191	-83.7445805
2121	42.28225275	-83.74546063
2122	42.28231092	-83.74779934
2123	42.28243287	-83.75093589
2124	42.28236987	-83.74905758
2125	42.28694423	-83.75397207
2126	42.28340558	-83.75591519
2127	42.28443624	-83.74187346
2128	42.28478794	-83.73791748
2129	42.28172376	-83.74176849
2130	42.28006079	-83.73860234
2131	42.27967213	-83.73513753
2132	42.27950254	-83.74204307
2133	42.27957602	-83.7450489
2134	42.27965305	-83.74731497
2135	42.28057308	-83.75019827
2136	42.27884604	-83.74979512
2137	42.28009819	-83.75547441
2138	42.27637542	-83.75457164
2139	42.271169	-83.75438821
2140	42.26629431	-83.75422043
2141	42.26725501	-83.7470969
2142	42.27401831	-83.74965197
2143	42.27547939	-83.7480052
2144	42.27313875	-83.74474298
2145	42.27696801	-83.7458706
2146	42.27702068	-83.74301275
2147	42.27469725	-83.74172018
2148	42.26823655	-83.74270143
2149	42.26755808	-83.73875556
2150	42.26964574	-83.73613087
2151	42.27146136	-83.7294235
2152	42.27666702	-83.73712746
2153	42.27339939	-83.73783188
2154	42.27367037	-83.73233836
2155	42.27861674	-83.72731082
2156	42.27446799	-83.72761931
2157	42.27989451	-83.73226021
2158	42.28228879	-83.73452354
2159	42.28330176	-83.72897207
2160	42.28796279	-83.72843759
2167	42.27787524	-83.71437828
2168	42.27146751	-83.71822837
2169	42.26462334	-83.71175469
2170	42.26600121	-83.70115628
2171	42.28541979	-83.71924575
2172	42.28341881	-83.70504726
2173	42.28605084	-83.71398215
2174	42.26407438	-83.72064777
2175	42.26323901	-83.73588282
2176	42.26399205	-83.72863678
2177	42.26867666	-83.72907611
2178	42.25908111	-83.71486785
2183	42.25857793	-83.72391629
2184	42.25155477	-83.71586766
2192	42.24049808	-83.7352429
2193	42.25660782	-83.73180267
2194	42.24833943	-83.72600816
2195	42.25255644	-83.73473993
2196	42.24972638	-83.73687607
2198	42.24104584	-83.7450569
2199	42.25380655	-83.74488558
2200	42.24831569	-83.75322439
2201	42.2525713	-83.76334767
2202	42.26023108	-83.75442666
2204	42.26035069	-83.76265172
2207	42.27259607	-83.7739765
2208	42.27284211	-83.76378067
2209	42.2661939	-83.76362326
2210	42.27815797	-83.77326963
2211	42.27949343	-83.76327479
2212	42.28252037	-83.77545036
2213	42.28416183	-83.76491957
2219	42.28842941	-83.775597
2221	42.29345485	-83.76135163
2222	42.29474772	-83.75036437
2223	42.29085104	-83.73361824
2227	42.29578881	-83.74118821
2228	42.29579391	-83.73523495
2229	42.29780028	-83.7254865
2232	42.30397103	-83.71669638
2237	42.29566426	-83.72277029
2238	42.29088783	-83.7222485
2239	42.29732685	-83.71572228
2240	42.29129289	-83.71571234
2241	42.29916635	-83.71090361
2242	42.29912138	-83.70666325
2243	42.29167341	-83.70860595
2245	42.29932831	-83.69811399
